semester,year,dept,course_count
1112S,1112,ASLC,12
1112S,1112,BCBP,2
1112S,1112,BIOL,11
1112S,1112,BLST,16
1112S,1112,CHEM,9
1112S,1112,CHIN,4
1112S,1112,CLAS,2
1112S,1112,COLQ,8
1112S,1112,COSC,7
1112S,1112,ECON,15
1112S,1112,ENGL,42
1112S,1112,ENST,5
1112S,1112,EUST,19
1112S,1112,FAMS,24
1112S,1112,FREN,9
1112S,1112,GEOL,6
1112S,1112,GERM,10
1112S,1112,GREE,4
1112S,1112,HIST,28
1112S,1112,JAPA,7
1112S,1112,LATI,3
1112S,1112,LJST,10
1112S,1112,MATH,12
1112S,1112,MELL,1
1112S,1112,MIXD,68
1112S,1112,MUSI,22
1112S,1112,NEUR,1
1112S,1112,PHIL,9
1112S,1112,PHYS,7
1112S,1112,POSC,13
1112S,1112,PSYC,9
1112S,1112,RELI,12
1112S,1112,RUSS,7
1112S,1112,SOCI,5
1112S,1112,SPAN,13
1112S,1112,THDA,17
1112S,1112,WAGS,5
1213F,1213,AMST,6
1213F,1213,ANTH,10
1213F,1213,ARAB,3
1213F,1213,ARCH,5
1213F,1213,ARHA,24
1213F,1213,ASLC,19
1213F,1213,BCBP,3
1213F,1213,BIOL,11
1213F,1213,BLST,19
1213F,1213,CHEM,9
1213F,1213,CHIN,4
1213F,1213,CLAS,1
1213F,1213,COLQ,1
1213F,1213,COSC,8
1213F,1213,ECON,19
1213F,1213,ENGL,31
1213F,1213,ENST,6
1213F,1213,EUST,17
1213F,1213,FAMS,13
1213F,1213,FREN,7
1213F,1213,FYSE,27
1213F,1213,GEOL,6
1213F,1213,GERM,6
1213F,1213,GREE,4
1213F,1213,HIST,25
1213F,1213,JAPA,7
1213F,1213,LATI,3
1213F,1213,LJST,10
1213F,1213,MATH,12
1213F,1213,MIXD,77
1213F,1213,MUSI,55
1213F,1213,PHIL,9
1213F,1213,PHYS,8
1213F,1213,POSC,19
1213F,1213,PSYC,16
1213F,1213,RELI,12
1213F,1213,RUSS,8
1213F,1213,SOCI,8
1213F,1213,SPAN,12
1213F,1213,THDA,17
1213F,1213,WAGS,4
1213S,1213,AMST,5
1213S,1213,ANTH,14
1213S,1213,ARAB,3
1213S,1213,ARCH,5
1213S,1213,ARHA,28
1213S,1213,ASLC,21
1213S,1213,BCBP,2
1213S,1213,BIOL,13
1213S,1213,BLST,14
1213S,1213,CHEM,8
1213S,1213,CHIN,4
1213S,1213,CLAS,2
1213S,1213,COLQ,7
1213S,1213,COSC,7
1213S,1213,ECON,15
1213S,1213,ENGL,37
1213S,1213,ENST,4
1213S,1213,EUST,17
1213S,1213,FAMS,25
1213S,1213,FREN,9
1213S,1213,GEOL,7
1213S,1213,GERM,9
1213S,1213,GREE,4
1213S,1213,HIST,23
1213S,1213,JAPA,7
1213S,1213,LATI,3
1213S,1213,LJST,8
1213S,1213,MATH,13
1213S,1213,MELL,1
1213S,1213,MIXD,71
1213S,1213,MUSI,19
1213S,1213,NEUR,1
1213S,1213,PHIL,13
1213S,1213,PHYS,7
1213S,1213,POSC,18
1213S,1213,PSYC,14
1213S,1213,RELI,13
1213S,1213,RUSS,7
1213S,1213,SOCI,9
1213S,1213,SPAN,13
1213S,1213,THDA,21
1213S,1213,WAGS,6
1314F,1314,AMST,5
1314F,1314,ANTH,12
1314F,1314,ARAB,3
1314F,1314,ARCH,3
1314F,1314,ARHA,22
1314F,1314,ASLC,24
1314F,1314,BCBP,3
1314F,1314,BIOL,17
1314F,1314,BLST,15
1314F,1314,CHEM,11
1314F,1314,CHIN,4
1314F,1314,CLAS,2
1314F,1314,COLQ,1
1314F,1314,COSC,6
1314F,1314,ECON,15
1314F,1314,ENGL,32
1314F,1314,ENST,7
1314F,1314,EUST,13
1314F,1314,FAMS,14
1314F,1314,FREN,6
1314F,1314,FYSE,28
1314F,1314,GEOL,5
1314F,1314,GERM,9
1314F,1314,GREE,4
1314F,1314,HIST,24
1314F,1314,JAPA,8
1314F,1314,LATI,3
1314F,1314,LJST,11
1314F,1314,MATH,14
1314F,1314,MIXD,76
1314F,1314,MUSI,10
1314F,1314,NEUR,4
1314F,1314,PHIL,9
1314F,1314,PHYS,8
1314F,1314,POSC,18
1314F,1314,PSYC,14
1314F,1314,RELI,9
1314F,1314,RUSS,10
1314F,1314,SOCI,5
1314F,1314,SPAN,15
1314F,1314,THDA,19
1314F,1314,WAGS,4
1314S,1314,AMST,5
1314S,1314,ANTH,11
1314S,1314,ARAB,4
1314S,1314,ARCH,6
1314S,1314,ARHA,24
1314S,1314,ASLC,15
1314S,1314,BCBP,4
1314S,1314,BIOL,12
1314S,1314,BLST,16
1314S,1314,CHEM,8
1314S,1314,CHIN,4
1314S,1314,CLAS,2
1314S,1314,COLQ,8
1314S,1314,COSC,6
1314S,1314,ECON,15
1314S,1314,ENGL,34
1314S,1314,ENST,9
1314S,1314,EUST,18
1314S,1314,FAMS,20
1314S,1314,FREN,10
1314S,1314,GEOL,6
1314S,1314,GERM,7
1314S,1314,GREE,4
1314S,1314,HIST,19
1314S,1314,JAPA,12
1314S,1314,LATI,3
1314S,1314,LJST,7
1314S,1314,MATH,15
1314S,1314,MIXD,68
1314S,1314,MUSI,15
1314S,1314,NEUR,1
1314S,1314,PHIL,10
1314S,1314,PHYS,7
1314S,1314,POSC,17
1314S,1314,PSYC,17
1314S,1314,RELI,11
1314S,1314,RUSS,8
1314S,1314,SOCI,6
1314S,1314,SPAN,15
1314S,1314,THDA,20
1314S,1314,WAGS,6
1415F,1415,AMST,8
1415F,1415,ANTH,9
1415F,1415,ARAB,3
1415F,1415,ARCH,10
1415F,1415,ARHA,25
1415F,1415,ASLC,17
1415F,1415,ASTR,1
1415F,1415,BIOL,10
1415F,1415,BLST,21
1415F,1415,CHEM,10
1415F,1415,CHIN,5
1415F,1415,CLAS,2
1415F,1415,COLQ,1
1415F,1415,COSC,6
1415F,1415,ECON,15
1415F,1415,ENGL,36
1415F,1415,ENST,3
1415F,1415,EUST,26
1415F,1415,FAMS,16
1415F,1415,FREN,8
1415F,1415,FYSE,29
1415F,1415,GEOL,6
1415F,1415,GERM,8
1415F,1415,GREE,4
1415F,1415,HIST,20
1415F,1415,JAPA,8
1415F,1415,LATI,3
1415F,1415,LJST,10
1415F,1415,MATH,12
1415F,1415,MIXD,89
1415F,1415,MUSI,15
1415F,1415,NEUR,3
1415F,1415,PHIL,6
1415F,1415,PHYS,8
1415F,1415,POSC,18
1415F,1415,PSYC,15
1415F,1415,RELI,8
1415F,1415,RUSS,8
1415F,1415,SOCI,9
1415F,1415,SPAN,15
1415F,1415,STAT,6
1415F,1415,SWAG,22
1415F,1415,THDA,17
1415S,1415,AMST,9
1415S,1415,ANTH,11
1415S,1415,ARAB,3
1415S,1415,ARCH,7
1415S,1415,ARHA,26
1415S,1415,ASLC,20
1415S,1415,ASTR,3
1415S,1415,BCBP,4
1415S,1415,BIOL,14
1415S,1415,BLST,17
1415S,1415,CHEM,8
1415S,1415,CHIN,5
1415S,1415,CLAS,2
1415S,1415,COLQ,7
1415S,1415,COSC,8
1415S,1415,ECON,15
1415S,1415,ENGL,35
1415S,1415,ENST,6
1415S,1415,EUST,22
1415S,1415,FAMS,22
1415S,1415,FREN,7
1415S,1415,GEOL,6
1415S,1415,GERM,12
1415S,1415,GREE,4
1415S,1415,HIST,28
1415S,1415,JAPA,9
1415S,1415,LATI,3
1415S,1415,LJST,12
1415S,1415,MATH,15
1415S,1415,MIXD,94
1415S,1415,MUSI,13
1415S,1415,NEUR,2
1415S,1415,PHIL,10
1415S,1415,PHYS,8
1415S,1415,POSC,18
1415S,1415,PSYC,12
1415S,1415,RELI,11
1415S,1415,RUSS,7
1415S,1415,SOCI,8
1415S,1415,SPAN,16
1415S,1415,STAT,7
1415S,1415,SWAG,19
1415S,1415,THDA,18
1516F,1516,AMST,9
1516F,1516,ANTH,10
1516F,1516,ARAB,3
1516F,1516,ARCH,8
1516F,1516,ARHA,27
1516F,1516,ASLC,18
1516F,1516,ASTR,2
1516F,1516,BCBP,1
